time,temperature_2m,shortwave_radiation
2026-05-18T00:00,12.4,0.0
2026-05-18T01:00,12.3,0.0
2026-05-18T02:00,12.0,0.0
2026-05-18T03:00,11.6,0.0
2026-05-18T04:00,10.6,0.0
2026-05-18T05:00,10.2,0.0
2026-05-18T06:00,10.2,16.0
2026-05-18T07:00,10.6,58.0
2026-05-18T08:00,12.3,127.0
2026-05-18T09:00,14.1,194.0
2026-05-18T10:00,15.3,211.0
2026-05-18T11:00,16.6,400.0
2026-05-18T12:00,17.4,295.0
2026-05-18T13:00,17.9,253.0
2026-05-18T14:00,18.9,414.0
2026-05-18T15:00,18.9,155.0
2026-05-18T16:00,18.2,53.0
2026-05-18T17:00,17.7,38.0
2026-05-18T18:00,17.3,42.0
2026-05-18T19:00,17.1,66.0
2026-05-18T20:00,16.8,51.0
2026-05-18T21:00,16.2,29.0
2026-05-18T22:00,16.0,4.0
2026-05-18T23:00,15.9,0.0
2026-05-19T00:00,15.6,0.0
2026-05-19T01:00,15.1,0.0
2026-05-19T02:00,14.8,0.0
2026-05-19T03:00,14.3,0.0
2026-05-19T04:00,14.2,0.0
2026-05-19T05:00,14.1,0.0
2026-05-19T06:00,14.4,13.0
2026-05-19T07:00,15.1,51.0
2026-05-19T08:00,16.1,86.0
2026-05-19T09:00,17.6,242.0
2026-05-19T10:00,19.7,351.0
2026-05-19T11:00,21.9,462.0
2026-05-19T12:00,23.6,497.0
2026-05-19T13:00,24.8,515.0
2026-05-19T14:00,25.3,411.0
2026-05-19T15:00,25.9,439.0
2026-05-19T16:00,26.5,467.0
2026-05-19T17:00,26.8,476.0
2026-05-19T18:00,26.1,380.0
2026-05-19T19:00,25.6,305.0
2026-05-19T20:00,24.0,176.0
2026-05-19T21:00,22.2,73.0
2026-05-19T22:00,20.2,9.0
2026-05-19T23:00,18.5,0.0
